lat,long,subbasin
44.6707,-83.2474,0a
44.6797,-83.2477,0a
44.6888,-83.2479,0a
44.6978,-83.2481,0a
44.7068,-83.2484,0a
44.7066,-83.2611,0a
44.7157,-83.2613,0a
44.7247,-83.2615,0a
44.7245,-83.2742,0a
44.7336,-83.2745,0a
44.7426,-83.2747,0a
44.7516,-83.2749,0a
44.7518,-83.2622,0a
44.7608,-83.2624,0a
44.7606,-83.2752,0a
44.7697,-83.2754,0a
44.7787,-83.2756,0a
44.7877,-83.2758,0a
44.7967,-83.2761,0a
44.8058,-83.2763,0a
44.8148,-83.2765,0a
44.8238,-83.2768,0a
44.8328,-83.277,0a
44.8327,-83.2897,0a
44.8417,-83.29,0a
44.8507,-83.2902,0a
44.8597,-83.2904,0a
44.8688,-83.2907,0a
44.8686,-83.3034,0a
44.8776,-83.3037,0a
44.8775,-83.3164,0a
44.8773,-83.3291,0a
44.8771,-83.3419,0a
44.8861,-83.3421,0a
44.886,-83.3549,0a
44.895,-83.3551,0a
44.8948,-83.3678,0a
44.9038,-83.3681,0a
44.9037,-83.3808,0a
44.9127,-83.3811,0a
44.9125,-83.3938,0a
44.9215,-83.3941,0a
44.9214,-83.4068,0a
44.9304,-83.4071,0a
44.9394,-83.4073,0a
44.9392,-83.4201,0a
44.9483,-83.4203,0a
44.9573,-83.4206,0a
44.9663,-83.4209,0a
44.9753,-83.4211,0a
44.9844,-83.4214,0a
44.9934,-83.4216,0a
44.9932,-83.4344,0a
45.0022,-83.4347,0a
45.0112,-83.4349,0a
45.0114,-83.4221,0a
45.0116,-83.4094,0a
45.0206,-83.4096,0a
45.0205,-83.4224,0a
45.0295,-83.4227,0a
45.0385,-83.4229,0a
45.0475,-83.4232,0a
45.0477,-83.4104,0a
45.0567,-83.4107,0a
45.0569,-83.3979,0a
45.0659,-83.3981,0a
45.0661,-83.3853,0a
45.0751,-83.3856,0a
45.0753,-83.3728,0a
45.0755,-83.36,0a
45.0757,-83.3473,0a
45.0758,-83.3345,0a
45.0668,-83.3342,0a
45.0578,-83.334,0a
45.0488,-83.3337,0a
45.0489,-83.321,0a
45.0491,-83.3082,0a
45.0401,-83.3079,0a
45.0402,-83.2952,0a
45.0404,-83.2824,0a
45.0406,-83.2696,0a
45.0316,-83.2694,0a
45.0317,-83.2566,0a
45.0319,-83.2438,0a
45.0409,-83.2441,0a
45.0499,-83.2443,0a
45.0498,-83.2571,0a
45.0496,-83.2699,0a
45.0494,-83.2826,0a
45.0585,-83.2829,0a
45.0675,-83.2831,0a
45.0765,-83.2833,0a
45.0764,-83.2961,0a
45.0854,-83.2964,0a
45.0855,-83.2836,0a
45.0946,-83.2838,0a
45.1036,-83.284,0a
45.1126,-83.2843,0a
45.1125,-83.2971,0a
45.1215,-83.2973,0a
45.1305,-83.2976,0a
45.1395,-83.2978,0a
45.1486,-83.298,0a
45.1484,-83.3108,0a
45.1574,-83.3111,0a
45.1572,-83.3239,0a
45.1663,-83.3241,0a
45.1661,-83.3369,0a
45.1751,-83.3372,0a
45.1841,-83.3374,0a
45.184,-83.3502,0a
45.193,-83.3505,0a
45.202,-83.3507,0a
45.2018,-83.3635,0a
45.2109,-83.3638,0a
45.2199,-83.364,0a
45.2197,-83.3768,0a
45.2287,-83.3771,0a
45.2378,-83.3773,0a
45.2376,-83.3902,0a
45.2466,-83.3904,0a
45.2556,-83.3907,0a
45.2558,-83.3778,0a
45.256,-83.365,0a
45.265,-83.3653,0a
45.274,-83.3655,0a
45.2831,-83.3658,0a
45.2829,-83.3786,0a
45.2919,-83.3789,0a
45.2917,-83.3917,0a
45.2916,-83.4045,0a
45.3006,-83.4048,0a
45.3096,-83.405,0a
45.3094,-83.4179,0a
45.3184,-83.4181,0a
45.3183,-83.431,0a
45.3273,-83.4312,0a
45.3271,-83.4441,0a
45.3361,-83.4443,0a
45.3359,-83.4572,0a
45.345,-83.4574,0a
45.354,-83.4577,0a
45.3538,-83.4705,0a
45.3448,-83.4703,0a
45.3446,-83.4831,0a
45.3536,-83.4834,0a
45.3534,-83.4962,0a
45.3625,-83.4965,0a
45.3623,-83.5094,0a
45.3532,-83.5091,0a
45.353,-83.5219,0a
45.3528,-83.5348,0a
45.3526,-83.5476,0a
45.3525,-83.5605,0a
45.3523,-83.5733,0a
45.3613,-83.5736,0a
45.3611,-83.5864,0a
45.3609,-83.5993,0a
45.3699,-83.5996,0a
45.3697,-83.6124,0a
45.3695,-83.6253,0a
45.3785,-83.6256,0a
45.3783,-83.6384,0a
45.3781,-83.6513,0a
45.3871,-83.6515,0a
45.3869,-83.6644,0a
45.3959,-83.6647,0a
45.3957,-83.6776,0a
45.4047,-83.6779,0a
45.4045,-83.6907,0a
45.4043,-83.7036,0a
45.4133,-83.7039,0a
45.4131,-83.7167,0a
45.4041,-83.7164,0a
45.4039,-83.7293,0a
45.4037,-83.7421,0a
45.4035,-83.755,0a
45.4125,-83.7553,0a
45.4215,-83.7556,0a
45.4213,-83.7685,0a
45.4211,-83.7813,0a
45.4208,-83.7942,0a
45.4299,-83.7945,0a
45.4296,-83.8074,0a
45.4387,-83.8077,0a
45.4384,-83.8206,0a
45.4474,-83.8209,0a
45.4472,-83.8337,0a
45.4562,-83.8341,0a
45.456,-83.8469,0a
45.465,-83.8473,0a
45.4648,-83.8601,0a
45.4738,-83.8605,0a
45.4736,-83.8733,0a
45.4826,-83.8737,0a
45.4824,-83.8865,0a
45.4914,-83.8869,0a
45.4912,-83.8998,0a
45.4909,-83.9126,0a
45.4907,-83.9255,0a
45.4997,-83.9259,0a
45.4995,-83.9387,0a
45.4992,-83.9516,0a
45.4902,-83.9513,0a
45.49,-83.9641,0a
45.4897,-83.977,0a
45.4895,-83.9899,0a
45.4985,-83.9902,0a
45.4982,-84.0031,0a
45.498,-84.016,0a
45.489,-84.0156,0a
45.4887,-84.0285,0a
45.4885,-84.0414,0a
45.4882,-84.0542,0a
45.488,-84.0671,0a
45.497,-84.0675,0a
45.4967,-84.0804,0a
45.5057,-84.0807,0a
45.5055,-84.0936,0a
45.5145,-84.094,0a
45.5235,-84.0943,0a
45.5326,-84.0947,0a
45.5416,-84.0951,0a
45.5506,-84.0955,0a
45.5596,-84.0958,0a
45.5594,-84.1087,0a
45.5684,-84.1091,0a
45.5681,-84.122,0a
45.5771,-84.1223,0a
45.5769,-84.1352,0a
45.5859,-84.1356,0a
45.5949,-84.136,0a
45.5946,-84.1489,0a
45.6037,-84.1493,0a
45.6034,-84.1622,0a
45.6124,-84.1626,0a
45.6122,-84.1755,0a
45.6212,-84.1758,0a
45.6209,-84.1887,0a
45.6299,-84.1891,0a
45.6297,-84.202,0a
45.6387,-84.2024,0a
45.6384,-84.2153,0a
45.6381,-84.2282,0a
45.6379,-84.2411,0a
45.6469,-84.2415,0a
45.6466,-84.2544,0a
45.6463,-84.2674,0a
45.6553,-84.2678,0a
45.6551,-84.2807,0a
45.6548,-84.2936,0a
45.6545,-84.3065,0a
45.6542,-84.3194,0a
45.6539,-84.3323,0a
45.6536,-84.3452,0a
45.6534,-84.3581,0a
45.6531,-84.371,0a
45.6621,-84.3714,0a
45.6618,-84.3844,0a
45.6615,-84.3973,0a
45.6612,-84.4102,0a
45.6522,-84.4098,0a
45.6432,-84.4093,0a
45.6429,-84.4222,0a
45.6426,-84.4352,0a
45.6423,-84.4481,0a
45.6513,-84.4485,0a
45.651,-84.4614,0a
45.66,-84.4618,0a
45.6597,-84.4747,0a
45.6687,-84.4752,0a
45.6684,-84.4881,0a
45.6774,-84.4885,0a
45.6771,-84.5014,0a
45.6862,-84.5019,0a
45.6859,-84.5148,0a
45.6949,-84.5152,0a
45.6946,-84.5281,0a
45.7036,-84.5286,0a
45.7033,-84.5415,0a
45.703,-84.5544,0a
